relation	status	nodes	edges	alternatives	transitions	routes	detail
8603400	PASS	7	6	1	19	4	
8603401	PASS	7	6	1	19	4	
8603402	PASS	7	6	1	19	4	
8871498	INELIGIBLE	0	0	0	0	0	{INVALID_MEMBERS=1, MISSING_TO=1, VIA_WAY_DEFERRED=1}
8871509	PASS	10	15	1	14	3	
9195815	PASS	10	9	1	19	4	
9305969	PASS	5	4	1	11	3	
9305971	PASS	4	3	1	9	3	
9305972	PASS	4	3	1	9	3	
9305993	PASS	33	64	1	16	3	
9424665	INELIGIBLE	0	0	0	0	0	{DIRECTION_CONFLICT=1, VIA_WAY_DEFERRED=1}
9424666	PASS	4	3	1	9	3	
9497397	INELIGIBLE	0	0	0	0	0	{INVALID_MEMBERS=1, MISSING_FROM=1, VIA_WAY_DEFERRED=1}
9606471	PASS	23	31	1	25	4	
9611381	PASS	6	8	1	34	5	
